Statistical profiling result from isolate-0x1f776000-4128116-v8.log, (1074 ticks, 9 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    2.9%        JS: ~initCJSParseSync node:internal/modules/esm/translators:80:26
      1  100.0%          JS: ~commonjsStrategy node:internal/modules/esm/translators:332:54
      1  100.0%            JS: ^#translate node:internal/modules/esm/loader:556:13
      1    2.9%        JS: ~<anonymous> node:v8:1:1
      1  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      1  100.0%            JS: ^compileForPublicLoader node:internal/bootstrap/realm:331:25
      1    2.9%        JS: ~<anonymous> node:readline/promises:1:1
      1  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      1  100.0%            JS: +requireBuiltin node:internal/bootstrap/realm:420:24
      1    2.9%        JS: ~<anonymous> node:internal/crypto/hkdf:1:1
      1  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      1  100.0%            JS: +requireBuiltin node:internal/bootstrap/realm:420:24
      1    2.9%        JS: ~<anonymous> node:internal/crypto/argon2:1:1
      1  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      1  100.0%            JS: +requireBuiltin node:internal/bootstrap/realm:420:24
      1    2.9%        JS: ~<anonymous> node:internal/blocklist:1:1
      1  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      1  100.0%            JS: +requireBuiltin node:internal/bootstrap/realm:420:24
      1    2.9%        JS: ~<anonymous> node:child_process:1:1
      1  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      1  100.0%            JS: ^compileForPublicLoader node:internal/bootstrap/realm:331:25
      1    2.9%        JS: ~<anonymous> node:_http_client:1:1
      1  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      1  100.0%            JS: +requireBuiltin node:internal/bootstrap/realm:420:24
      1    2.9%        JS: ~<anonymous> node:_http_agent:1:1
      1  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      1  100.0%            JS: +requireBuiltin node:internal/bootstrap/realm:420:24
      9   11.5%      JS: ^compileForPublicLoader node:internal/bootstrap/realm:331:25
      9  100.0%        JS: ^loadBuiltinModule node:internal/modules/helpers:117:27
      9  100.0%          JS: ^builtinStrategy node:internal/modules/esm/translators:457:52
      9  100.0%            JS: ^#translate node:internal/modules/esm/loader:556:13
      1    1.3%      JS: ~builtinStrategy node:internal/modules/esm/translators:457:52
      1  100.0%        JS: ^#translate node:internal/modules/esm/loader:556:13
      1  100.0%          JS: ^afterLoad node:internal/modules/esm/loader:613:23
      1  100.0%            JS: ^loadAndTranslate node:internal/modules/esm/loader:611:19
     10    1.7%    JS: ^decode node:internal/encoding:440:11
     10  100.0%      JS: ^stringify node:internal/modules/helpers:396:19
     10  100.0%        JS: ^moduleStrategy node:internal/modules/esm/translators:103:50
     10  100.0%          JS: ^#translate node:internal/modules/esm/loader:556:13
     10  100.0%            JS: ^afterLoad node:internal/modules/esm/loader:613:23
      8    1.3%    JS: +URL node:internal/url:812:14
      3   37.5%      JS: ^moduleResolve node:internal/modules/esm/resolve:831:23
      3  100.0%        JS: ^defaultResolve node:internal/modules/esm/resolve:945:24
      3  100.0%          JS: ^#cachedDefaultResolve node:internal/modules/esm/loader:749:24
      3  100.0%            JS: ^resolve node:internal/modules/esm/loader:725:10
      2   25.0%      JS: ^defaultLoad node:internal/modules/esm/load:58:21
      2  100.0%        JS: ^load node:internal/modules/esm/loader:831:7
      2  100.0%          JS: ^loadAndTranslate node:internal/modules/esm/loader:611:19
      2  100.0%            JS: ^#createModuleJob node:internal/modules/esm/loader:635:19
      1   12.5%      JS: ~_resolve$1 file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vitest/dist/chunks/coverage.DL5VHqXY.js:2045:20
      1  100.0%        JS: ~resolveSync file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vitest/dist/chunks/coverage.DL5VHqXY.js:2125:21
      1  100.0%          JS: ~resolvePathSync file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vitest/dist/chunks/coverage.DL5VHqXY.js:2128:25
      1  100.0%            JS: ~_resolve file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vitest/dist/chunks/coverage.DL5VHqXY.js:2287:18
      1   12.5%      JS: ^resolvePackageTargetString node:internal/modules/esm/resolve:375:36
      1  100.0%        JS: ^resolvePackageTarget node:internal/modules/esm/resolve:480:30
      1  100.0%          JS: ^resolvePackageTarget node:internal/modules/esm/resolve:480:30
      1  100.0%            JS: ^resolvePackageTarget node:internal/modules/esm/resolve:480:30
      1   12.5%      JS: +parse node:internal/url:842:15
      1  100.0%        JS: ^defaultResolve node:internal/modules/esm/resolve:945:24
      1  100.0%          JS: ^#cachedDefaultResolve node:internal/modules/esm/loader:749:24
      1  100.0%            JS: ^resolve node:internal/modules/esm/loader:725:10
      7    1.2%    JS: ^wrapSafe node:internal/modules/cjs/loader:1648:18
      7  100.0%      JS: ^<anonymous> node:internal/modules/cjs/loader:1709:37
      7  100.0%        JS: ^<anonymous> node:internal/modules/cjs/loader:1857:37
      7  100.0%          JS: ^<anonymous> node:internal/modules/cjs/loader:1470:33
      7  100.0%            JS: ^<anonymous> node:internal/modules/cjs/loader:1202:24

     50    4.7%  __syscall_cancel_arch
     43   86.0%    JS: ^spawn node:internal/child_process:354:46
     38   88.4%      JS: ^spawn node:child_process:788:15
     36   94.7%        JS: ^fork node:child_process:125:14
     36  100.0%          JS: ^initialize file:///usr/local/google/home/adibakm/gemini-cli/node_modules/tinypool/dist/index.js:100:12
     36  100.0%            JS: ^_addNewWorker file:///usr/local/google/home/adibakm/gemini-cli/node_modules/tinypool/dist/index.js:535:15
      2    5.3%        JS: ~fork node:child_process:125:14
      2  100.0%          JS: ~initialize file:///usr/local/google/home/adibakm/gemini-cli/node_modules/tinypool/dist/index.js:100:12
      2  100.0%            JS: ~_addNewWorker file:///usr/local/google/home/adibakm/gemini-cli/node_modules/tinypool/dist/index.js:535:15
      5   11.6%      JS: ~spawn node:child_process:788:15
      5  100.0%        JS: ~fork node:child_process:125:14
      5  100.0%          JS: ~initialize file:///usr/local/google/home/adibakm/gemini-cli/node_modules/tinypool/dist/index.js:100:12
      5  100.0%            JS: ~_addNewWorker file:///usr/local/google/home/adibakm/gemini-cli/node_modules/tinypool/dist/index.js:535:15
      4    8.0%    JS: ~spawn node:internal/child_process:354:46
      4  100.0%      JS: ~spawn node:child_process:788:15
      3   75.0%        JS: ~fork node:child_process:125:14
      3  100.0%          JS: ~initialize file:///usr/local/google/home/adibakm/gemini-cli/node_modules/tinypool/dist/index.js:100:12
      3  100.0%            JS: ~_addNewWorker file:///usr/local/google/home/adibakm/gemini-cli/node_modules/tinypool/dist/index.js:535:15
      1   25.0%        JS: ~ensureServiceIsRunning /usr/local/google/home/adibakm/gemini-cli/node_modules/esbuild/lib/main.js:1973:30
      1  100.0%          JS: ~build /usr/local/google/home/adibakm/gemini-cli/node_modules/esbuild/lib/main.js:1874:13
      1  100.0%            JS: ~bundleConfigFile file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:36155:32
      2    4.0%    JS: ~spawnSync node:internal/child_process:1089:19
      2  100.0%      JS: ~spawnSync node:child_process:866:19
      2  100.0%        JS: ~execSync node:child_process:988:18
      2  100.0%          JS: ~exec file:///usr/local/google/home/adibakm/gemini-cli/node_modules/tinypool/dist/index.js:15:14
      2  100.0%            Script: ~<anonymous> file:///usr/local/google/home/adibakm/gemini-cli/node_modules/tinypool/dist/index.js:1:1
      1    2.0%    JS: ^handleWriteReq node:internal/stream_base_commons:46:24
      1  100.0%      JS: ^writeGeneric node:internal/stream_base_commons:146:22
      1  100.0%        JS: ^Socket._writeGeneric node:net:935:42
      1  100.0%          JS: ^Socket._write node:net:977:35
      1  100.0%            JS: ^writeOrBuffer node:internal/streams/writable:546:23

     42    3.9%  __syscall_cancel_arch_end
     12   28.6%    JS: ~spawnSync node:internal/child_process:1089:19
     12  100.0%      JS: ~spawnSync node:child_process:866:19
     12  100.0%        JS: ~execSync node:child_process:988:18
     12  100.0%          JS: ~exec file:///usr/local/google/home/adibakm/gemini-cli/node_modules/tinypool/dist/index.js:15:14
     12  100.0%            Script: ~<anonymous> file:///usr/local/google/home/adibakm/gemini-cli/node_modules/tinypool/dist/index.js:1:1
      6   14.3%    JS: ^openSync node:fs:554:18
      6  100.0%      JS: ^readFileSync node:fs:428:22
      6  100.0%        JS: ^getSourceSync node:internal/modules/esm/load:32:23
      6  100.0%          JS: ^defaultLoad node:internal/modules/esm/load:58:21
      6  100.0%            JS: ^load node:internal/modules/esm/loader:831:7
      4    9.5%    JS: ^readSync node:fs:691:18
      4  100.0%      JS: ^tryReadSync node:fs:407:21
      4  100.0%        JS: ^readFileSync node:fs:428:22
      4  100.0%          JS: ^getSourceSync node:internal/modules/esm/load:32:23
      4  100.0%            JS: ^defaultLoad node:internal/modules/esm/load:58:21
      4    9.5%    JS: ^read node:internal/modules/package_json_reader:113:14
      4  100.0%      JS: ^packageResolve node:internal/modules/esm/resolve:762:24
      4  100.0%        JS: ^moduleResolve node:internal/modules/esm/resolve:831:23
      4  100.0%          JS: ^defaultResolve node:internal/modules/esm/resolve:945:24
      4  100.0%            JS: ^#cachedDefaultResolve node:internal/modules/esm/loader:749:24
      2    4.8%    JS: ~packageResolve node:internal/modules/esm/resolve:762:24
      1   50.0%      JS: ~moduleResolve node:internal/modules/esm/resolve:831:23
      1  100.0%        JS: ~defaultResolve node:internal/modules/esm/resolve:945:24
      1  100.0%          JS: ~#cachedDefaultResolve node:internal/modules/esm/loader:749:24
      1  100.0%            JS: ~resolve node:internal/modules/esm/loader:725:10
      1   50.0%      JS: ^moduleResolve node:internal/modules/esm/resolve:831:23
      1  100.0%        JS: ^defaultResolve node:internal/modules/esm/resolve:945:24
      1  100.0%          JS: ^#cachedDefaultResolve node:internal/modules/esm/loader:749:24
      1  100.0%            JS: ^resolve node:internal/modules/esm/loader:725:10
      2    4.8%    JS: ^spawn node:internal/child_process:354:46
      2  100.0%      JS: ^spawn node:child_process:788:15
      2  100.0%        JS: ^fork node:child_process:125:14
      2  100.0%          JS: ^initialize file:///usr/local/google/home/adibakm/gemini-cli/node_modules/tinypool/dist/index.js:100:12
      2  100.0%            JS: ^_addNewWorker file:///usr/local/google/home/adibakm/gemini-cli/node_modules/tinypool/dist/index.js:535:15
      2    4.8%    JS: ^handleWriteReq node:internal/stream_base_commons:46:24
      2  100.0%      JS: ^writeGeneric node:internal/stream_base_commons:146:22
      2  100.0%        JS: ^Socket._writeGeneric node:net:935:42
      2  100.0%          JS: ^Socket._write node:net:977:35
      2  100.0%            JS: ^writeOrBuffer node:internal/streams/writable:546:23
      2    4.8%    JS: ^getPackageScopeConfig node:internal/modules/package_json_reader:207:31
      1   50.0%      JS: ^getPackageJSONURL node:internal/modules/package_json_reader:282:27
      1  100.0%        JS: ^packageResolve node:internal/modules/esm/resolve:762:24
      1  100.0%          JS: ^moduleResolve node:internal/modules/esm/resolve:831:23
      1  100.0%            JS: ^defaultResolve node:internal/modules/esm/resolve:945:24
      1   50.0%      JS: ^getFileProtocolModuleFormat node:internal/modules/esm/get_format:113:37
      1  100.0%        JS: ^defaultGetFormatWithoutErrors node:internal/modules/esm/get_format:193:39
      1  100.0%          JS: ^defaultResolve node:internal/modules/esm/resolve:945:24
      1  100.0%            JS: ^#cachedDefaultResolve node:internal/modules/esm/loader:749:24
      1    2.4%    Script: ~<anonymous> file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vitest/dist/chunks/defaults.B7q_naMc.js:1:1
      1  100.0%      Builtin: GeneratorPrototypeNext
      1  100.0%        Builtin: CallApiCallbackGeneric
      1  100.0%          JS: ~run node:internal/modules/esm/module_job:366:12
      1  100.0%            Builtin: AsyncFunctionAwaitResolveClosure
      1    2.4%    JS: ~handleWriteReq node:internal/stream_base_commons:46:24
      1  100.0%      JS: ~writeGeneric node:internal/stream_base_commons:146:22
      1  100.0%        JS: ~Socket._writeGeneric node:net:935:42
      1  100.0%          JS: ~Socket._write node:net:977:35
      1  100.0%            JS: ~writeOrBuffer node:internal/streams/writable:546:23
      1    2.4%    JS: ~getReport node:internal/process/report:37:12
      1  100.0%      JS: ~isMusl /usr/local/google/home/adibakm/gemini-cli/node_modules/rollup/dist/native.js:5:16
      1  100.0%        JS: ~getPackageBase /usr/local/google/home/adibakm/gemini-cli/node_modules/rollup/dist/native.js:77:24
      1  100.0%          JS: ~<anonymous> /usr/local/google/home/adibakm/gemini-cli/node_modules/rollup/dist/native.js:1:1
      1  100.0%            JS: ~cjsLoader node:internal/modules/esm/translators:340:38
      1    2.4%    JS: ~getFileProtocolModuleFormat node:internal/modules/esm/get_format:113:37
      1  100.0%      JS: ~defaultGetFormatWithoutErrors node:internal/modules/esm/get_format:193:39
      1  100.0%        JS: ~defaultResolve node:internal/modules/esm/resolve:945:24
      1  100.0%          JS: ~#cachedDefaultResolve node:internal/modules/esm/loader:749:24
      1  100.0%            JS: ~resolve node:internal/modules/esm/loader:725:10
      1    2.4%    JS: ^writeChannelMessage node:internal/child_process/serialization:163:22
      1  100.0%      JS: ^target._send node:internal/child_process:746:26
      1  100.0%        JS: ^target.send node:internal/child_process:720:25
      1  100.0%          JS: ^send file:///usr/local/google/home/adibakm/gemini-cli/node_modules/tinypool/dist/index.js:139:6
      1  100.0%            JS: ~<anonymous> file:///usr/local/google/home/adibakm/gemini-cli/node_modules/tinypool/dist/index.js:135:28
      1    2.4%    JS: ^readFileSync node:fs:428:22
      1  100.0%      JS: ~loadPackageData file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:1874:25
      1  100.0%        JS: ~resolvePackageData file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:1816:28
      1  100.0%          Script: ~<anonymous> file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:1:1
      1  100.0%            Builtin: GeneratorPrototypeNext

     35    3.3%  syscall@@GLIBC_2.2.5
      2    5.7%    JS: ^stat node:internal/modules/cjs/loader:259:14
      2  100.0%      JS: ^tryFile node:internal/modules/cjs/loader:551:17
      2  100.0%        JS: ^tryExtensions node:internal/modules/cjs/loader:567:23
      2  100.0%          JS: ^<anonymous> node:internal/modules/cjs/loader:696:28
      2  100.0%            JS: ^<anonymous> node:internal/modules/cjs/loader:1335:35
      2    5.7%    JS: ^readFileSync node:fs:428:22
      1   50.0%      JS: ~loadPackageData file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:1874:25
      1  100.0%        JS: ~resolvePackageData file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:1816:28
      1  100.0%          JS: ~tryNodeResolve file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:11793:24
      1  100.0%            JS: ~resolveByViteResolver file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:36184:35
      1   50.0%      JS: ^<anonymous> node:internal/modules/cjs/loader:1857:37
      1  100.0%        JS: ^<anonymous> node:internal/modules/cjs/loader:1470:33
      1  100.0%          JS: ^<anonymous> node:internal/modules/cjs/loader:1202:24
      1  100.0%            JS: ^traceSync node:diagnostics_channel:326:12
      2    5.7%    JS: ^finalizeResolution node:internal/modules/esm/resolve:228:28
      2  100.0%      JS: ^moduleResolve node:internal/modules/esm/resolve:831:23
      2  100.0%        JS: ^defaultResolve node:internal/modules/esm/resolve:945:24
      2  100.0%          JS: ^#cachedDefaultResolve node:internal/modules/esm/loader:749:24
      2  100.0%            JS: ^resolve node:internal/modules/esm/loader:725:10
      2    5.7%    JS: ^closeSync node:fs:511:19
      2  100.0%      JS: ^readFileSync node:fs:428:22
      2  100.0%        JS: ^getSourceSync node:internal/modules/esm/load:32:23
      2  100.0%          JS: ^defaultLoad node:internal/modules/esm/load:58:21
      2  100.0%            JS: ^load node:internal/modules/esm/loader:831:7
      1    2.9%    JS: ~tryStatSync file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:2219:21
      1  100.0%      JS: ~<anonymous> file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:12530:53
      1  100.0%        Builtin: ArrayPrototypeFlatMap
      1  100.0%          JS: ~loadEnv file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:12522:17
      1  100.0%            JS: ~resolveConfig file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:35752:29
      1    2.9%    JS: ~getReport node:internal/process/report:37:12
      1  100.0%      JS: ~isMusl /usr/local/google/home/adibakm/gemini-cli/node_modules/rollup/dist/native.js:5:16
      1  100.0%        JS: ~getPackageBase /usr/local/google/home/adibakm/gemini-cli/node_modules/rollup/dist/native.js:77:24
      1  100.0%          JS: ~<anonymous> /usr/local/google/home/adibakm/gemini-cli/node_modules/rollup/dist/native.js:1:1
      1  100.0%            JS: ~cjsLoader node:internal/modules/esm/translators:340:38
      1    2.9%    JS: ^tryStatSync node:fs:384:21
      1  100.0%      JS: ^readFileSync node:fs:428:22
      1  100.0%        JS: ^getSourceSync node:internal/modules/esm/load:32:23
      1  100.0%          JS: ^defaultLoad node:internal/modules/esm/load:58:21
      1  100.0%            JS: ^load node:internal/modules/esm/loader:831:7
      1    2.9%    JS: ^spawn node:internal/child_process:354:46
      1  100.0%      JS: ^spawn node:child_process:788:15
      1  100.0%        JS: ^fork node:child_process:125:14
      1  100.0%          JS: ^initialize file:///usr/local/google/home/adibakm/gemini-cli/node_modules/tinypool/dist/index.js:100:12
      1  100.0%            JS: ^_addNewWorker file:///usr/local/google/home/adibakm/gemini-cli/node_modules/tinypool/dist/index.js:535:15
      1    2.9%    JS: ^realpathSync node:fs:2676:22
      1  100.0%      JS: ^toRealPath node:internal/modules/helpers:61:20
      1  100.0%        JS: ^tryFile node:internal/modules/cjs/loader:551:17
      1  100.0%          JS: ^tryExtensions node:internal/modules/cjs/loader:567:23
      1  100.0%            JS: ^<anonymous> node:internal/modules/cjs/loader:696:28
      1    2.9%    JS: ^read node:internal/modules/package_json_reader:113:14
      1  100.0%      JS: ^packageResolve node:internal/modules/esm/resolve:762:24
      1  100.0%        JS: ^moduleResolve node:internal/modules/esm/resolve:831:23
      1  100.0%          JS: ^defaultResolve node:internal/modules/esm/resolve:945:24
      1  100.0%            JS: ^#cachedDefaultResolve node:internal/modules/esm/loader:749:24
      1    2.9%    JS: ^channel.onread node:internal/child_process:597:28

     24    2.2%  pthread_sigmask@GLIBC_2.2.5
     17   70.8%    JS: ^spawn node:internal/child_process:354:46
     12   70.6%      JS: ^spawn node:child_process:788:15
     10   83.3%        JS: ^fork node:child_process:125:14
     10  100.0%          JS: ^initialize file:///usr/local/google/home/adibakm/gemini-cli/node_modules/tinypool/dist/index.js:100:12
     10  100.0%            JS: ^_addNewWorker file:///usr/local/google/home/adibakm/gemini-cli/node_modules/tinypool/dist/index.js:535:15
      2   16.7%        JS: ~fork node:child_process:125:14
      2  100.0%          JS: ~initialize file:///usr/local/google/home/adibakm/gemini-cli/node_modules/tinypool/dist/index.js:100:12
      2  100.0%            JS: ~_addNewWorker file:///usr/local/google/home/adibakm/gemini-cli/node_modules/tinypool/dist/index.js:535:15
      5   29.4%      JS: ~spawn node:child_process:788:15
      5  100.0%        JS: ~fork node:child_process:125:14
      5  100.0%          JS: ~initialize file:///usr/local/google/home/adibakm/gemini-cli/node_modules/tinypool/dist/index.js:100:12
      5  100.0%            JS: ~_addNewWorker file:///usr/local/google/home/adibakm/gemini-cli/node_modules/tinypool/dist/index.js:535:15
      4   16.7%    JS: ~spawn node:internal/child_process:354:46
      4  100.0%      JS: ~spawn node:child_process:788:15
      3   75.0%        JS: ~fork node:child_process:125:14
      3  100.0%          JS: ~initialize file:///usr/local/google/home/adibakm/gemini-cli/node_modules/tinypool/dist/index.js:100:12
      3  100.0%            JS: ~_addNewWorker file:///usr/local/google/home/adibakm/gemini-cli/node_modules/tinypool/dist/index.js:535:15
      1   25.0%        JS: ~ensureServiceIsRunning /usr/local/google/home/adibakm/gemini-cli/node_modules/esbuild/lib/main.js:1973:30
      1  100.0%          JS: ~build /usr/local/google/home/adibakm/gemini-cli/node_modules/esbuild/lib/main.js:1874:13
      1  100.0%            JS: ~bundleConfigFile file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:36155:32
      3   12.5%    JS: ~spawnSync node:internal/child_process:1089:19
      3  100.0%      JS: ~spawnSync node:child_process:866:19
      3  100.0%        JS: ~execSync node:child_process:988:18
      3  100.0%          JS: ~exec file:///usr/local/google/home/adibakm/gemini-cli/node_modules/tinypool/dist/index.js:15:14
      3  100.0%            Script: ~<anonymous> file:///usr/local/google/home/adibakm/gemini-cli/node_modules/tinypool/dist/index.js:1:1

     19    1.8%  Builtin: LoadICBaseline
      2   10.5%    JS: ^parseSource node:internal/deps/cjs-module-lexer/lexer:85:22
      2  100.0%      JS: ~parseCJS node:internal/deps/cjs-module-lexer/lexer:40:19
      2  100.0%        JS: ~cjsPreparseModuleExports node:internal/modules/esm/translators:399:34
      2  100.0%          JS: ~createCJSModuleWrap node:internal/modules/esm/translators:208:29
      2  100.0%            JS: ~commonjsStrategy node:internal/modules/esm/translators:332:54
      1    5.3%    JS: ^visit /usr/local/google/home/adibakm/gemini-cli/node_modules/esbuild/lib/main.js:90:15
      1  100.0%      JS: ~decodePacket /usr/local/google/home/adibakm/gemini-cli/node_modules/esbuild/lib/main.js:89:22
      1  100.0%        JS: ^handleIncomingPacket /usr/local/google/home/adibakm/gemini-cli/node_modules/esbuild/lib/main.js:640:30
      1  100.0%          JS: ^readFromStdout /usr/local/google/home/adibakm/gemini-cli/node_modules/esbuild/lib/main.js:563:24
      1  100.0%            JS: ^emit node:events:455:44
      1    5.3%    JS: ^shift node:internal/fixed_queue:109:8
      1  100.0%      JS: ^processTicksAndRejections node:internal/process/task_queues:71:35
      1    5.3%    JS: ^resolveId file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:30895:17
      1  100.0%      JS: ~resolveId file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:31417:17
      1  100.0%        JS: ~resolveId file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite-node/dist/server.mjs:259:17
      1  100.0%          JS: ~resolveId file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vitest/dist/chunks/coverage.DL5VHqXY.js:2483:12
      1  100.0%            JS: ~onMessage file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vitest/dist/chunks/index.B521nVV-.js:86:27
      1    5.3%    JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
      1  100.0%      JS: ~<anonymous> node:internal/perf/resource_timing:1:1
      1  100.0%        JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      1  100.0%          JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
      1  100.0%            JS: ~<anonymous> node:perf_hooks:1:1
      1    5.3%    JS: ^processTicksAndRejections node:internal/process/task_queues:71:35
      1    5.3%    JS: ^isInternal node:internal/child_process:957:20
      1  100.0%      JS: ^channel.onread node:internal/child_process:597:28
      1    5.3%    JS: ^getWindow file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vitest/dist/chunks/index.VByaPkjc.js:934:15
      1  100.0%      JS: ^render file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vitest/dist/chunks/index.VByaPkjc.js:853:8
      1  100.0%        JS: ~flushBuffer file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vitest/dist/chunks/index.VByaPkjc.js:835:13
      1  100.0%          JS: ^schedule file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vitest/dist/chunks/index.VByaPkjc.js:826:10
      1  100.0%            JS: ^<anonymous> file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vitest/dist/chunks/index.VByaPkjc.js:808:37
      1    5.3%    JS: ^fileURLToPath node:internal/url:1606:23
      1  100.0%      JS: ^getPackageJSONURL node:internal/modules/package_json_reader:282:27
      1  100.0%        JS: ^packageResolve node:internal/modules/esm/resolve:762:24
      1  100.0%          JS: ^moduleResolve node:internal/modules/esm/resolve:831:23
      1  100.0%            JS: ^defaultResolve node:internal/modules/esm/resolve:945:24
      1    5.3%    JS: ^enter file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:19069:8
      1  100.0%      JS: +visit file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:18755:7
      1  100.0%        JS: +visit file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:18755:7
      1  100.0%          JS: +visit file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:18755:7
      1  100.0%            JS: +visit file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:18755:7
      1    5.3%    JS: ^encodeInteger file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:136:23
      1  100.0%      JS: ^encode$1 file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:250:18
      1  100.0%        JS: ~SourceMap file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:3136:13
      1  100.0%          JS: ~generateMap file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:3454:13
      1  100.0%            JS: ^ssrTransformScript file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:18866:34
      1    5.3%    JS: ^emitBeforeScript node:internal/async_hooks:517:26
      1  100.0%      JS: ^processTimers node:internal/timers:526:25
      1    5.3%    JS: ^dirname node:path:1441:10
      1  100.0%      JS: ~directRequest file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite-node/dist/client.mjs:255:21
      1  100.0%        Builtin: AsyncFunctionAwaitResolveClosure
      1    5.3%    JS: ^Socket._writeGeneric node:net:935:42
      1  100.0%      JS: ^Socket._write node:net:977:35
      1  100.0%        JS: ^writeOrBuffer node:internal/streams/writable:546:23
      1  100.0%          JS: ^_write node:internal/streams/writable:451:16
      1  100.0%            JS: ^Writable.write node:internal/streams/writable:502:36
      1    5.3%    JS: ^Socket node:net:362:16
      1  100.0%      JS: ^createSocket node:internal/child_process:334:22
      1  100.0%        JS: ^spawn node:internal/child_process:354:46
      1  100.0%          JS: ^spawn node:child_process:788:15
      1  100.0%            JS: ~fork node:child_process:125:14
      1    5.3%    JS: ^<anonymous> node:events:331:29
      1  100.0%      JS: ^EventEmitter node:events:209:22
      1  100.0%        JS: ^ChildProcess node:internal/child_process:254:22
      1  100.0%          JS: ^spawn node:child_process:788:15
      1  100.0%            JS: ~fork node:child_process:125:14
      1    5.3%    JS: ^<anonymous> file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vitest/dist/chunks/index.VByaPkjc.js:1086:39
      1  100.0%      JS: ^listOnTimeout node:internal/timers:546:25
